"","site","date","year"
"1473","Site53",2014-07-02,2014
"1474","Site54",2014-05-19,2014
"1475","Site54",2014-05-21,2014
"1476","Site54",2014-05-27,2014
"1477","Site54",2014-06-05,2014
"1478","Site54",2014-07-02,2014
"1479","Site55",2014-05-27,2014
"1480","Site57",2014-05-19,2014
"1481","Site57",2014-05-28,2014
"1482","Site57",2014-06-06,2014
"1483","Site58",2014-05-21,2014
"1484","Site58",2014-06-09,2014
"1485","Site58",2014-06-23,2014
"1486","Site59",2014-05-30,2014
"1487","Site59",2014-05-30,2014
"1488","Site59",2014-06-13,2014
"1489","Site59",2014-06-06,2014
"1490","Site59",2014-06-21,2014
"1491","Site59",2014-06-28,2014
"1492","Site59",2014-07-09,2014
"1493","Site59",2014-07-01,2014
"1494","Site59",2014-07-01,2014
"1495","Site59",2014-07-01,2014
"1496","Site59",2014-07-02,2014
"1497","Site59",2014-07-02,2014
"1498","Site59",2014-08-04,2014
"1499","Site61",2014-05-26,2014
"1500","Site61",2014-06-11,2014
"1501","Site61",2014-06-20,2014
"1502","Site63",2014-05-17,2014
"1503","Site63",2014-06-05,2014
"1504","Site63",2014-06-05,2014
"1505","Site63",2014-06-10,2014
"1506","Site63",2014-06-07,2014
"1507","Site63",2014-06-22,2014
"1508","Site63",2014-06-17,2014
"1509","Site63",2014-07-02,2014
"1510","Site63",2014-07-01,2014
"1511","Site63",2014-07-01,2014
"1512","Site63",2014-07-02,2014
"1513","Site65",2014-05-21,2014
"1514","Site65",2014-05-22,2014
"1515","Site65",2014-06-08,2014
"1516","Site65",2014-06-14,2014
"1517","Site65",2014-06-10,2014
"1518","Site65",2014-07-02,2014
"1519","Site66",2014-05-21,2014
"1520","Site66",2014-06-19,2014
"1521","Site67",2014-05-18,2014
"1522","Site67",2014-05-26,2014
"1523","Site67",2014-06-10,2014
"1524","Site67",2014-06-20,2014
"1525","Site67",2014-06-30,2014
"1526","Site67",2014-07-01,2014
"1527","Site67",2014-07-01,2014
"1528","Site67",2014-07-02,2014
"1529","Site67",2014-07-02,2014
"1530","Site67",2014-07-03,2014
"1531","Site69",2014-05-19,2014
"1532","Site69",2014-05-21,2014
"1533","Site69",2014-07-02,2014
"1534","Site69",2014-07-02,2014
"1535","Site69",2014-07-05,2014
"1536","Site69",2014-07-02,2014
"1537","Site71",2014-05-21,2014
"1538","Site71",2014-05-30,2014
"1539","Site71",2014-06-19,2014
"1540","Site72",2014-05-24,2014
"1541","Site72",2014-06-09,2014
"1542","Site72",2014-06-14,2014
"1543","Site72",2014-06-23,2014
"1544","Site72",2014-07-04,2014
"1545","Site72",2014-07-01,2014
"1546","Site72",2014-07-02,2014
"1547","Site72",2014-07-05,2014
"1548","Site72",2014-07-03,2014
"1549","Site74",2014-05-27,2014
"1550","Site74",2014-07-02,2014
"1551","Site75",2014-05-19,2014
"1552","Site75",2014-05-20,2014
"1553","Site75",2014-05-05,2014
"1554","Site75",2014-05-23,2014
"1555","Site75",2014-06-08,2014
"1556","Site75",2014-06-12,2014
"1557","Site75",2014-06-22,2014
"1558","Site75",2014-07-02,2014
"1559","Site75",2014-07-01,2014
"1560","Site75",2014-07-01,2014
"1561","Site75",2014-07-01,2014
"1562","Site76",2014-06-09,2014
"1563","Site76",2014-06-15,2014
"1564","Site76",2014-07-01,2014
"1565","Site76",2014-07-01,2014
"1566","Site76",2014-07-04,2014
"1567","Site76",2014-07-02,2014
"1568","Site76",2014-07-02,2014
"1569","Site77",2014-05-19,2014
"1570","Site77",2014-05-20,2014
"1571","Site77",2014-05-23,2014
"1572","Site77",2014-06-08,2014
"1573","Site77",2014-06-12,2014
"1574","Site77",2014-06-12,2014
"1575","Site77",2014-06-22,2014
"1576","Site77",2014-07-02,2014
"1577","Site77",2014-07-01,2014
"1578","Site77",2014-07-01,2014
"1579","Site77",2014-07-01,2014
"1580","Site77",2014-07-02,2014
"1581","Site77",2014-07-03,2014
"1582","Site77",2014-07-05,2014
"1583","Site77",2014-07-02,2014
"1584","Site77",2014-08-05,2014
"1585","Site78",2014-05-27,2014
"1586","Site78",2014-06-11,2014
"1587","Site78",2014-06-16,2014
"1588","Site78",2014-06-26,2014
"1589","Site78",2014-07-01,2014
"1590","Site78",2014-07-01,2014
"1591","Site78",2014-07-02,2014
"1592","Site78",2014-07-08,2014
"1593","Site78",2014-07-03,2014
"1594","Site78",2014-08-03,2014
"1595","Site79",2014-05-17,2014
"1596","Site79",2014-05-30,2014
"1597","Site79",2014-06-10,2014
"1598","Site79",2014-06-04,2014
"1599","Site79",2014-06-13,2014
"1600","Site79",2014-06-21,2014
"1601","Site79",2014-06-30,2014
"1602","Site79",2014-06-09,2014
"1603","Site79",2014-07-01,2014
"1604","Site79",2014-07-01,2014
"1605","Site79",2014-07-02,2014
"1606","Site79",2014-07-02,2014
"1607","Site79",2014-07-02,2014
"1608","Site79",2014-07-03,2014
"1609","Site80",2014-05-22,2014
"1610","Site80",2014-05-24,2014
"1611","Site80",2014-06-08,2014
"1612","Site80",2014-06-04,2014
"1613","Site80",2014-06-14,2014
"1614","Site80",2014-07-02,2014
"1615","Site81",2014-05-17,2014
"1616","Site81",2014-05-23,2014
"1617","Site81",2014-05-24,2014
"1618","Site81",2014-05-26,2014
"1619","Site81",2014-05-28,2014
"1620","Site81",2014-06-03,2014
"1621","Site83",2014-05-22,2014
"1622","Site83",2014-06-09,2014
"1623","Site84",2014-05-29,2014
"1624","Site85",2014-05-29,2014
"1625","Site85",2014-06-05,2014
"1626","Site85",2014-06-12,2014
"1627","Site85",2014-06-22,2014
"1628","Site85",2014-07-02,2014
"1629","Site85",2014-07-01,2014
"1630","Site85",2014-07-01,2014
"1631","Site85",2014-07-02,2014
"1632","Site85",2014-07-05,2014
"1633","Site85",2014-07-02,2014
"1634","Site85",2014-08-02,2014
"1635","Site86",2014-05-30,2014
"1636","Site87",2014-05-30,2014
"1637","Site87",2014-06-19,2014
"1638","Site87",2014-06-19,2014
"1639","Site88",2014-05-17,2014
"1640","Site88",2014-05-30,2014
"1641","Site88",2014-06-01,2014
"1642","Site88",2014-06-05,2014
"1643","Site88",2014-06-11,2014
"1644","Site88",2014-06-20,2014
"1645","Site88",2014-06-30,2014
"1646","Site88",2014-07-01,2014
"1647","Site88",2014-07-01,2014
"1648","Site88",2014-07-02,2014
"1649","Site88",2014-07-02,2014
"1650","Site88",2014-07-03,2014
"1651","Site89",2014-05-17,2014
"1652","Site89",2014-06-01,2014
"1653","Site89",2014-06-10,2014
"1654","Site89",2014-06-20,2014
"1655","Site89",2014-06-30,2014
"1656","Site89",2014-07-01,2014
"1657","Site91",2014-05-29,2014
"1658","Site92",2014-05-29,2014
"1659","Site93",2014-05-29,2014
"1660","Site95",2014-05-29,2014
"1661","Site95",2014-06-10,2014
"1662","Site95",2014-06-20,2014
"1663","Site95",2014-06-10,2014
"1664","Site95",2014-06-30,2014
"1665","Site95",2014-07-01,2014
"1666","Site95",2014-07-09,2014
"1667","Site97",2014-05-22,2014
"1668","Site97",2014-05-24,2014
"1669","Site97",2014-05-27,2014
"1670","Site97",2014-06-05,2014
"1671","Site97",2014-06-12,2014
"1672","Site97",2014-06-04,2014
"1673","Site97",2014-06-23,2014
"1674","Site97",2014-07-01,2014
"1675","Site97",2014-07-02,2014
"1676","Site97",2014-07-02,2014
"1677","Site97",2014-07-03,2014
"1678","Site97",2014-08-02,2014
"1679","Site98",2014-05-29,2014
"1680","Site98",2014-06-10,2014
"1681","Site100",2014-06-13,2014
"1682","Site100",2014-06-21,2014
"1683","Site100",2014-07-01,2014
"1684","Site100",2014-07-09,2014
"1685","Site100",2014-07-01,2014
"1686","Site100",2014-07-01,2014
"1687","Site100",2014-07-02,2014
"1688","Site100",2014-07-02,2014
"1689","Site100",2014-07-04,2014
"1690","Site100",2014-07-02,2014
"1691","Site100",2014-08-04,2014
"1692","Site101",2014-05-19,2014
"1693","Site101",2014-05-23,2014
"1694","Site101",2014-06-02,2014
"1695","Site102",2014-05-19,2014
"1696","Site102",2014-05-20,2014
"1697","Site102",2014-05-23,2014
"1698","Site102",2014-06-02,2014
"1699","Site102",2014-06-09,2014
"1700","Site103",2014-05-29,2014
"1701","Site104",2014-06-23,2014
"1702","Site104",2014-07-01,2014
"1703","Site105",2014-05-28,2014
"1704","Site105",2014-06-08,2014
"1705","Site105",2014-06-23,2014
"1706","Site106",2014-05-30,2014
"1707","Site106",2014-06-13,2014
"1708","Site106",2014-06-21,2014
"1709","Site108",2014-06-11,2014
"1710","Site108",2014-07-09,2014
"1711","Site110",2014-05-26,2014
"1712","Site110",2014-08-07,2014
"1713","Site111",2014-05-19,2014
"1714","Site111",2014-05-01,2014
"1715","Site111",2014-06-12,2014
"1716","Site112",2014-06-10,2014
"1717","Site112",2014-08-04,2014
"1718","Site113",2014-06-11,2014
"1719","Site113",2014-06-20,2014
"1720","Site114",2014-05-29,2014
"1721","Site114",2014-06-05,2014
"1722","Site114",2014-06-10,2014
"1723","Site114",2014-06-20,2014
"1724","Site115",2014-05-29,2014
"1725","Site 117",2014-05-29,2014
"1726","Site 118",2014-06-16,2014
"1727","Site 119",2014-06-16,2014
"1728","Site 119",2014-06-26,2014
"1729","Site 119",2014-07-09,2014
"1730","Site 119",2014-07-01,2014
"1731","Site 119",2014-07-02,2014
"1732","Site 119",2014-07-11,2014
"1733","Site 119",2014-07-02,2014
"1734","Site 119",2014-08-01,2014
"1735","Site 119",2014-08-05,2014
"1736","Site 120",2014-06-16,2014
"1737","Site 121",2014-06-20,2014
"1738","Site 122",2014-06-12,2014
"1739","Site 122",2014-06-22,2014
"1740","Site 123",2014-05-28,2014
"1741","Site 124",2014-07-01,2014
"1742","Site 125",2014-07-02,2014
"1743","Site 125",2014-07-02,2014
"1744","Site 126",2014-07-02,2014
"1745","Site 127",2014-07-01,2014
"1746","Cabin",2014-05-30,2014
"1747","Site1",2014-05-17,2014
"1748","Site1",2014-05-30,2014
"1749","Site2",2014-05-21,2014
"1750","Site2",2014-05-27,2014
"1751","Site2",2014-05-28,2014
"1752","Site2",2014-06-05,2014
"1753","Site2",2014-06-12,2014
"1754","Site3",2014-05-19,2014
"1755","Site3",2014-05-20,2014
"1756","Site3",2014-06-02,2014
"1757","Site3",2014-06-09,2014
"1758","Site3",2014-06-11,2014
"1759","Site3",2014-06-12,2014
"1760","Site3",2014-06-12,2014
"1761","Site3",2014-06-13,2014
"1762","Site3",2014-06-12,2014
"1763","Site3",2014-06-02,2014
"1764","Site3",2014-06-15,2014
"1765","Site3",2014-06-15,2014
"1766","Site3",2014-06-01,2014
"1767","Site3",2014-06-18,2014
"1768","Site3",2014-07-01,2014
"1769","Site3",2014-07-02,2014
"1770","Site3",2014-07-01,2014
"1771","Site3",2014-07-02,2014
"1772","Site4",2014-05-21,2014
"1773","Site4",2014-05-28,2014
"1774","Site4",2014-06-08,2014
"1775","Site4",2014-06-13,2014
"1776","Site5",2014-05-21,2014
"1777","Site5",2014-05-30,2014
"1778","Site5",2014-06-08,2014
"1779","Site5",2014-06-10,2014
"1780","Site5",2014-06-13,2014
"1781","Site5",2014-06-10,2014
"1782","Site5",2014-06-21,2014
"1783","Site5",2014-06-21,2014
"1784","Site5",2014-06-21,2014
"1785","Site5",2014-06-23,2014
"1786","Site5",2014-06-28,2014
"1787","Site5",2014-07-09,2014
"1788","Site6",2014-05-28,2014
"1789","Site6",2014-06-13,2014
"1790","Site7",2014-05-22,2014
"1791","Site7",2014-05-24,2014
"1792","Site7",2014-05-27,2014
"1793","Site7",2014-06-05,2014
"1794","Site7",2014-06-12,2014
"1795","Site7",2014-06-05,2014
"1796","Site7",2014-06-23,2014
"1797","Site7",2014-07-07,2014
"1798","Site7",2014-07-01,2014
"1799","Site7",2014-07-02,2014
"1800","Site7",2014-08-02,2014
"1801","Site8",2014-05-18,2014
"1802","Site8",2014-05-19,2014
"1803","Site8",2014-05-21,2014
"1804","Site8",2014-05-28,2014
"1805","Site8",2014-06-08,2014
"1806","Site8",2014-06-05,2014
"1807","Site8",2014-06-06,2014
"1808","Site8",2014-06-08,2014
"1809","Site8",2014-06-10,2014
"1810","Site8",2014-06-10,2014
"1811","Site8",2014-06-11,2014
"1812","Site8",2014-06-15,2014
"1813","Site8",2014-06-15,2014
"1814","Site8",2014-07-02,2014
"1815","Site8",2014-07-02,2014
"1816","Site9",2014-06-16,2014
"1817","Site10",2014-05-18,2014
"1818","Site10",2014-05-19,2014
"1819","Site10",2014-05-26,2014
"1820","Site11",2014-05-18,2014
"1821","Site11",2014-05-21,2014
"1822","Site11",2014-05-28,2014
"1823","Site11",2014-06-01,2014
"1824","Site11",2014-06-23,2014
"1825","Site12",2014-05-19,2014
"1826","Site12",2014-05-20,2014
"1827","Site12",2014-06-09,2014
"1828","Site12",2014-06-04,2014
"1829","Site12",2014-06-18,2014
"1830","Site12",2014-07-01,2014
"1831","Site12",2014-07-05,2014
"1832","Site12",2014-07-01,2014
"1833","Site12",2014-07-01,2014
"1834","Site12",2014-07-01,2014
"1835","Site12",2014-07-08,2014
"1836","Site12",2014-07-02,2014
"1837","Site12",2014-07-02,2014
"1838","Site13",2014-06-09,2014
"1839","Site13",2014-07-04,2014
"1840","Site13",2014-07-02,2014
"1841","Site15",2014-05-18,2014
"1842","Site15",2014-05-21,2014
"1843","Site16",2014-05-22,2014
"1844","Site16",2014-06-08,2014
"1845","Site16",2014-06-17,2014
"1846","Site16",2014-07-02,2014
"1847","Site17",2014-05-22,2014
"1848","Site17",2014-06-08,2014
"1849","Site18",2014-05-17,2014
"1850","Site18",2014-05-21,2014
"1851","Site18",2014-05-23,2014
"1852","Site18",2014-06-08,2014
"1853","Site18",2014-06-18,2014
"1854","Site19",2014-05-22,2014
"1855","Site19",2014-06-08,2014
"1856","Site19",2014-06-09,2014
"1857","Site19",2014-06-11,2014
"1858","Site19",2014-06-03,2014
"1859","Site19",2014-06-17,2014
"1860","Site19",2014-07-02,2014
"1861","Site20",2014-06-08,2014
"1862","Site20",2014-06-09,2014
"1863","Site20",2014-06-03,2014
"1864","Site20",2014-06-12,2014
"1865","Site20",2014-06-12,2014
"1866","Site20",2014-06-29,2014
"1867","Site20",2014-07-05,2014
"1868","Site20",2014-07-01,2014
"1869","Site20",2014-07-01,2014
"1870","Site20",2014-07-01,2014
"1871","Site20",2014-07-02,2014
"1872","Site20",2014-07-02,2014
"1873","Site20",2014-07-02,2014
"1874","Site20",2014-07-03,2014
"1875","Site21",2014-05-22,2014
"1876","Site21",2014-05-24,2014
"1877","Site21",2014-06-08,2014
"1878","Site22",2014-05-22,2014
"1879","Site22",2014-05-24,2014
"1880","Site22",2014-06-08,2014
"1881","Site22",2014-06-14,2014
"1882","Site23",2014-05-22,2014
"1883","Site23",2014-05-24,2014
"1884","Site23",2014-06-08,2014
"1885","Site23",2014-06-04,2014
"1886","Site23",2014-06-14,2014
"1887","Site23",2014-07-02,2014
"1888","Site23",2014-08-08,2014
"1889","Site26",2014-06-09,2014
"1890","Site27",2014-05-21,2014
"1891","Site27",2014-05-22,2014
"1892","Site27",2014-06-08,2014
"1893","Site28",2014-05-17,2014
"1894","Site28",2014-05-21,2014
"1895","Site28",2014-05-22,2014
"1896","Site28",2014-05-24,2014
"1897","Site28",2014-06-09,2014
"1898","Site28",2014-06-03,2014
"1899","Site28",2014-06-14,2014
"1900","Site28",2014-07-01,2014
"1901","Site28",2014-07-02,2014
"1902","Site28",2014-07-05,2014
"1903","Site28",2014-07-02,2014
"1904","Site28",2014-07-03,2014
"1905","Site28",2014-08-01,2014
"1906","Site28",2014-08-05,2014
"1907","Site28",2014-08-03,2014
"1908","Site29",2014-05-21,2014
"1909","Site29",2014-05-22,2014
"1910","Site29",2014-06-09,2014
"1911","Site30",2014-05-18,2014
"1912","Site30",2014-05-21,2014
"1913","Site30",2014-05-22,2014
"1914","Site30",2014-06-05,2014
"1915","Site30",2014-06-12,2014
"1916","Site30",2014-07-04,2014
"1917","Site30",2014-07-02,2014
"1918","Site31",2014-05-21,2014
"1919","Site31",2014-05-28,2014
"1920","Site31",2014-06-06,2014
"1921","Site31",2014-06-16,2014
"1922","Site31",2014-06-04,2014
"1923","Site31",2014-06-26,2014
"1924","Site31",2014-07-09,2014
"1925","Site31",2014-07-02,2014
"1926","Site31",2014-07-02,2014
"1927","Site32",2014-06-06,2014
"1928","Site33",2014-05-19,2014
"1929","Site33",2014-05-21,2014
"1930","Site33",2014-06-06,2014
"1931","Site33",2014-06-08,2014
"1932","Site33",2014-06-03,2014
"1933","Site33",2014-06-16,2014
"1934","Site33",2014-06-01,2014
"1935","Site33",2014-06-26,2014
"1936","Site33",2014-07-09,2014
"1937","Site33",2014-07-01,2014
"1938","Site33",2014-07-01,2014
"1939","Site33",2014-07-02,2014
"1940","Site33",2014-07-04,2014
"1941","Site33",2014-07-03,2014
"1942","Site34",2014-06-06,2014
"1943","Site35",2014-05-19,2014
"1944","Site35",2014-05-20,2014
"1945","Site35",2014-05-23,2014
"1946","Site35",2014-06-08,2014
"1947","Site35",2014-06-09,2014
"1948","Site35",2014-06-09,2014
"1949","Site35",2014-06-09,2014
"1950","Site35",2014-06-11,2014
"1951","Site35",2014-06-12,2014
"1952","Site35",2014-06-11,2014
"1953","Site35",2014-06-08,2014
"1954","Site35",2014-06-11,2014
"1955","Site35",2014-06-22,2014
"1956","Site35",2014-07-02,2014
"1957","Site35",2014-07-01,2014
"1958","Site35",2014-07-01,2014
"1959","Site35",2014-07-01,2014
"1960","Site35",2014-07-02,2014
"1961","Site35",2014-07-13,2014
"1962","Site35",2014-07-02,2014
"1963","Site37",2014-05-29,2014
"1964","Site38",2014-05-21,2014
"1965","Site38",2014-05-27,2014
"1966","Site38",2014-05-28,2014
"1967","Site38",2014-06-12,2014
"1968","Site39",2014-05-19,2014
"1969","Site39",2014-05-20,2014
"1970","Site39",2014-05-23,2014
"1971","Site39",2014-06-02,2014
"1972","Site39",2014-06-09,2014
"1973","Site39",2014-06-04,2014
"1974","Site39",2014-06-15,2014
"1975","Site39",2014-06-18,2014
"1976","Site39",2014-07-01,2014
"1977","Site39",2014-07-01,2014
"1978","Site39",2014-07-02,2014
"1979","Site40",2014-05-19,2014
"1980","Site40",2014-05-23,2014
"1981","Site40",2014-06-02,2014
"1982","Site40",2014-06-09,2014
"1983","Site44",2014-05-19,2014
"1984","Site44",2014-05-23,2014
"1985","Site44",2014-06-02,2014
"1986","Site44",2014-06-09,2014
"1987","Site44",2014-06-04,2014
"1988","Site44",2014-06-10,2014
"1989","Site44",2014-06-10,2014
"1990","Site44",2014-06-03,2014
"1991","Site44",2014-06-13,2014
"1992","Site44",2014-06-15,2014
"1993","Site44",2014-06-18,2014
"1994","Site44",2014-07-01,2014
"1995","Site44",2014-07-01,2014
"1996","Site44",2014-07-01,2014
"1997","Site44",2014-07-05,2014
"1998","Site44",2014-07-02,2014
"1999","Site44",2014-07-04,2014
"2000","Site44",2014-07-02,2014
"2001","Site44",2014-08-04,2014
"2002","Site45",2014-05-19,2014
"2003","Site45",2014-05-20,2014
"2004","Site45",2014-05-23,2014
"2005","Site45",2014-06-02,2014
"2006","Site45",2014-06-09,2014
"2007","Site46",2014-05-29,2014
"2008","Site46",2014-08-04,2014
"2009","Site47",2014-05-27,2014
"2010","Site47",2014-06-05,2014
"2011","Site47",2014-06-07,2014
"2012","Site47",2014-06-08,2014
"2013","Site47",2014-06-09,2014
"2014","Site47",2014-06-11,2014
"2015","Site47",2014-06-16,2014
"2016","Site47",2014-06-26,2014
"2017","Site47",2014-06-29,2014
"2018","Site47",2014-07-01,2014
"2019","Site47",2014-07-02,2014
"2020","Site47",2014-07-03,2014
"2021","Site49",2014-07-02,2014
"2022","Site50",2014-05-18,2014
"2023","Site50",2014-05-21,2014
"2024","Site50",2014-05-28,2014
"2025","Site50",2014-06-11,2014
"2026","Site50",2014-06-16,2014
"2027","Site50",2014-06-26,2014
"2028","Site50",2014-07-09,2014
"2029","Site50",2014-07-01,2014
"2030","Site50",2014-07-01,2014
"2031","Site50",2014-07-02,2014
"2032","Site50",2014-07-03,2014
"2033","Site51",2014-05-21,2014
"2034","Site51",2014-05-28,2014
"2035","Site51",2014-06-01,2014
"2036","Site51",2014-06-08,2014
"2037","Site51",2014-06-12,2014
"2038","Site51",2014-06-13,2014
"2039","Site51",2014-06-03,2014
"2040","Site51",2014-06-23,2014
"2041","Site51",2014-07-01,2014
"2042","Site51",2014-07-01,2014
"2043","Site51",2014-07-01,2014
"2044","Site51",2014-07-01,2014
"2045","Site51",2014-07-02,2014
"2046","Site51",2014-07-08,2014
"2047","Site51",2014-07-02,2014
"2048","Site51",2014-07-03,2014
"2049","Site51",2014-08-05,2014
"2050","Site52",2014-05-18,2014
"2051","Site52",2014-05-19,2014
"2052","Site52",2014-05-21,2014
"2053","Site52",2014-05-27,2014
"2054","Site52",2014-05-28,2014
"2055","Site52",2014-06-12,2014
"2056","Site53",2014-05-19,2014
"2057","Site53",2014-05-27,2014
"2058","Site53",2014-05-28,2014
"2059","Site53",2014-06-05,2014
"2060","Site53",2014-06-12,2014
"2061","Site53",2014-07-02,2014
"2062","Site53",2014-07-08,2014
"2063","Site53",2014-07-02,2014
"2064","Site54",2014-05-19,2014
"2065","Site54",2014-05-21,2014
"2066","Site54",2014-05-27,2014
"2067","Site54",2014-06-05,2014
"2068","Site54",2014-07-02,2014
"2069","Site55",2014-05-27,2014
"2070","Site57",2014-05-19,2014
"2071","Site57",2014-05-28,2014
"2072","Site57",2014-06-06,2014
"2073","Site58",2014-05-21,2014
"2074","Site58",2014-06-09,2014
"2075","Site58",2014-06-23,2014
"2076","Site59",2014-05-30,2014
"2077","Site59",2014-05-30,2014
"2078","Site59",2014-06-13,2014
"2079","Site59",2014-06-06,2014
"2080","Site59",2014-06-21,2014
"2081","Site59",2014-06-28,2014
"2082","Site59",2014-07-09,2014
"2083","Site59",2014-07-01,2014
"2084","Site59",2014-07-01,2014
"2085","Site59",2014-07-01,2014
"2086","Site59",2014-07-02,2014
"2087","Site59",2014-07-02,2014
"2088","Site59",2014-08-04,2014
"2089","Site61",2014-05-26,2014
"2090","Site61",2014-06-11,2014
"2091","Site61",2014-06-20,2014
"2092","Site63",2014-05-17,2014
"2093","Site63",2014-06-05,2014
"2094","Site63",2014-06-05,2014
"2095","Site63",2014-06-10,2014
"2096","Site63",2014-06-07,2014
"2097","Site63",2014-06-22,2014
"2098","Site63",2014-06-17,2014
"2099","Site63",2014-07-02,2014
"2100","Site63",2014-07-01,2014
"2101","Site63",2014-07-01,2014
"2102","Site63",2014-07-02,2014
"2103","Site65",2014-05-21,2014
"2104","Site65",2014-05-22,2014
"2105","Site65",2014-06-08,2014
"2106","Site65",2014-06-14,2014
"2107","Site65",2014-06-10,2014
"2108","Site65",2014-07-02,2014
"2109","Site66",2014-05-21,2014
"2110","Site66",2014-06-19,2014
"2111","Site67",2014-05-18,2014
"2112","Site67",2014-05-26,2014
"2113","Site67",2014-06-10,2014
"2114","Site67",2014-06-20,2014
"2115","Site67",2014-06-30,2014
"2116","Site67",2014-07-01,2014
"2117","Site67",2014-07-01,2014
"2118","Site67",2014-07-02,2014
"2119","Site67",2014-07-02,2014
"2120","Site67",2014-07-03,2014
"2121","Site69",2014-05-19,2014
"2122","Site69",2014-05-21,2014
"2123","Site69",2014-07-02,2014
"2124","Site69",2014-07-02,2014
"2125","Site69",2014-07-05,2014
"2126","Site69",2014-07-02,2014
"2127","Site71",2014-05-21,2014
"2128","Site71",2014-05-30,2014
"2129","Site71",2014-06-19,2014
"2130","Site72",2014-05-24,2014
"2131","Site72",2014-06-09,2014
"2132","Site72",2014-06-14,2014
"2133","Site72",2014-06-23,2014
"2134","Site72",2014-07-04,2014
"2135","Site72",2014-07-01,2014
"2136","Site72",2014-07-02,2014
"2137","Site72",2014-07-05,2014
"2138","Site72",2014-07-03,2014
"2139","Site74",2014-05-27,2014
"2140","Site74",2014-07-02,2014
"2141","Site75",2014-05-19,2014
"2142","Site75",2014-05-20,2014
"2143","Site75",2014-05-05,2014
"2144","Site75",2014-05-23,2014
"2145","Site75",2014-06-08,2014
"2146","Site75",2014-06-12,2014
"2147","Site75",2014-06-22,2014
"2148","Site75",2014-07-02,2014
"2149","Site75",2014-07-01,2014
"2150","Site75",2014-07-01,2014
"2151","Site75",2014-07-01,2014
"2152","Site76",2014-06-09,2014
"2153","Site76",2014-06-15,2014
"2154","Site76",2014-07-01,2014
"2155","Site76",2014-07-01,2014
"2156","Site76",2014-07-04,2014
"2157","Site76",2014-07-02,2014
"2158","Site76",2014-07-02,2014
"2159","Site77",2014-05-19,2014
"2160","Site77",2014-05-20,2014
"2161","Site77",2014-05-23,2014
"2162","Site77",2014-06-08,2014
"2163","Site77",2014-06-12,2014
"2164","Site77",2014-06-12,2014
"2165","Site77",2014-06-22,2014
"2166","Site77",2014-07-02,2014
"2167","Site77",2014-07-01,2014
"2168","Site77",2014-07-01,2014
"2169","Site77",2014-07-01,2014
"2170","Site77",2014-07-02,2014
"2171","Site77",2014-07-03,2014
"2172","Site77",2014-07-05,2014
"2173","Site77",2014-07-02,2014
"2174","Site77",2014-08-05,2014
"2175","Site78",2014-05-27,2014
"2176","Site78",2014-06-11,2014
"2177","Site78",2014-06-16,2014
"2178","Site78",2014-06-26,2014
"2179","Site78",2014-07-01,2014
"2180","Site78",2014-07-01,2014
"2181","Site78",2014-07-02,2014
"2182","Site78",2014-07-08,2014
"2183","Site78",2014-07-03,2014
"2184","Site78",2014-08-03,2014
"2185","Site79",2014-05-17,2014
"2186","Site79",2014-05-30,2014
"2187","Site79",2014-06-10,2014
"2188","Site79",2014-06-04,2014
"2189","Site79",2014-06-13,2014
"2190","Site79",2014-06-21,2014
"2191","Site79",2014-06-30,2014
"2192","Site79",2014-06-09,2014
"2193","Site79",2014-07-01,2014
"2194","Site79",2014-07-01,2014
"2195","Site79",2014-07-02,2014
"2196","Site79",2014-07-02,2014
"2197","Site79",2014-07-02,2014
"2198","Site79",2014-07-03,2014
"2199","Site80",2014-05-22,2014
"2200","Site80",2014-05-24,2014
